Receipt#,Total Amount,Total Items,Date,Void Count,Void Amount,Return Count,Return Amount,Cashier Name,Register ID
1,190.4,28,2023-10-10 16:14:04.247312,2,47.01,0,0.0,Arif,2
2,475.6,7,2024-07-06 16:14:04.247369,3,30.44,2,3.33,Ramzan,3
3,367.34,35,2024-08-20 16:14:04.247378,3,21.16,1,15.79,Ali,3
4,301.34,28,2024-04-14 16:14:04.247384,1,38.81,2,10.95,Arif,1
5,82.23,14,2024-04-29 16:14:04.247391,3,11.88,2,2.18,Asif,2
6,82.22,10,2024-05-10 16:14:04.247397,3,6.09,2,21.14,Ali,1
7,33.75,16,2024-06-22 16:14:04.247403,1,11.92,1,19.86,Arif,5
8,433.76,16,2024-07-11 16:14:04.247412,1,31.95,0,0.0,Ali,3
9,302.55,31,2023-09-21 16:14:04.247429,3,31.14,1,17.58,Junaid,4
10,355.5,42,2023-11-27 16:14:04.247438,2,3.14,0,0.0,Arif,1
11,15.19,25,2024-07-19 16:14:04.247446,0,0.0,2,10.1,Junaid,5
12,485.11,13,2023-11-04 16:14:04.247452,3,41.83,2,9.68,Junaid,3
13,417.06,6,2024-01-29 16:14:04.247457,3,24.99,2,29.28,Arif,2
14,110.11,44,2024-08-16 16:14:04.247463,2,26.8,2,21.97,Ramzan,3
15,95.0,9,2024-08-17 16:14:04.247470,3,31.6,2,13.11,Arif,2
16,95.79,45,2024-07-16 16:14:04.247475,3,28.75,0,0.0,Ramzan,2
17,155.6,36,2024-05-13 16:14:04.247480,0,0.0,0,0.0,Ali,1
18,264.75,43,2024-05-05 16:14:04.247485,0,0.0,2,19.18,Ali,1
19,218.81,20,2023-12-18 16:14:04.247490,0,0.0,1,14.62,Arif,3
20,149.16,18,2023-10-29 16:14:04.247495,1,35.93,1,9.52,Ali,5
21,307.87,43,2024-08-19 16:14:04.247501,1,14.56,2,21.22,Asif,3
22,74.05,21,2023-11-19 16:14:04.247506,0,0.0,0,0.0,Junaid,4
23,149.61,4,2024-05-23 16:14:04.247511,0,0.0,1,16.86,Junaid,2
24,186.35,50,2023-10-05 16:14:04.247516,1,0.08,1,26.69,Ramzan,2
25,230.75,33,2023-09-08 16:14:04.247521,2,17.64,1,18.41,Ali,1
26,393.66,27,2023-11-27 16:14:04.247527,3,28.53,2,10.7,Ramzan,5
27,103.84,7,2024-01-31 16:14:04.247532,3,9.37,1,19.97,Junaid,1
28,259.55,6,2024-05-12 16:14:04.247537,0,0.0,1,24.43,Junaid,4
29,298.25,15,2024-01-16 16:14:04.247542,2,33.41,1,11.35,Ali,3
30,27.99,18,2023-11-05 16:14:04.247547,1,26.17,1,22.02,Asif,3
31,305.73,32,2024-04-12 16:14:04.247552,0,0.0,0,0.0,Asif,5
32,89.41,11,2024-08-29 16:14:04.247557,2,18.03,2,8.84,Ali,1
33,37.2,20,2024-06-12 16:14:04.247562,2,47.67,2,5.33,Ali,1
34,474.7,24,2023-09-10 16:14:04.247569,2,27.2,0,0.0,Ramzan,4
35,482.99,15,2024-01-29 16:14:04.247574,1,39.32,0,0.0,Ali,3
36,405.16,48,2024-03-11 16:14:04.247578,1,25.38,2,0.05,Asif,1
37,155.78,7,2024-04-12 16:14:04.247583,3,1.02,1,21.06,Ali,5
38,53.35,21,2024-06-14 16:14:04.247588,3,43.67,1,17.19,Ramzan,3
39,343.7,42,2024-05-14 16:14:04.247592,2,2.18,2,25.52,Ramzan,4
40,222.88,26,2024-03-13 16:14:04.247596,2,19.34,1,23.12,Ramzan,5
41,65.41,44,2024-07-11 16:14:04.247601,1,18.67,0,0.0,Ramzan,2
42,250.11,14,2024-07-16 16:14:04.247607,3,37.37,1,17.02,Arif,4
43,22.02,37,2024-02-20 16:14:04.247611,2,17.85,1,5.46,Ali,5
44,455.11,21,2024-07-14 16:14:04.247616,3,3.38,1,9.55,Junaid,1
45,133.1,18,2024-03-02 16:14:04.247621,3,12.06,2,24.26,Ali,2
46,332.95,5,2024-03-09 16:14:04.247626,2,32.86,0,0.0,Arif,4
47,159.3,3,2023-10-28 16:14:04.247631,1,5.18,1,18.34,Ramzan,1
48,262.43,23,2024-04-19 16:14:04.247636,2,29.1,2,19.19,Arif,2
49,275.62,26,2024-08-10 16:14:04.247965,2,37.83,1,3.12,Asif,3
50,96.5,37,2024-01-10 16:14:04.247977,3,6.67,0,0.0,Asif,1
51,484.94,24,2023-12-02 16:14:04.247983,2,17.61,1,14.89,Ali,5
52,388.69,49,2024-06-30 16:14:04.247988,1,16.93,0,0.0,Ali,4
53,470.05,19,2024-02-21 16:14:04.247993,2,32.14,1,9.94,Junaid,2
54,447.94,25,2024-07-23 16:14:04.248001,1,41.52,0,0.0,Junaid,1
55,300.96,21,2023-11-24 16:14:04.248006,1,34.23,1,2.33,Asif,3
56,461.33,12,2024-04-04 16:14:04.248011,3,49.04,0,0.0,Ramzan,4
57,48.8,41,2023-10-16 16:14:04.248015,0,0.0,1,10.4,Arif,4
58,102.01,33,2023-10-21 16:14:04.248020,0,0.0,1,9.59,Junaid,1
59,27.39,50,2024-02-29 16:14:04.248025,3,23.93,2,19.09,Junaid,3
60,166.04,4,2023-11-11 16:14:04.248039,2,9.11,2,28.89,Ramzan,2
61,197.4,42,2024-05-26 16:14:04.248048,3,6.74,0,0.0,Ramzan,1
62,139.32,7,2023-09-07 16:14:04.248053,1,35.8,1,24.65,Ali,2
63,415.23,22,2024-07-28 16:14:04.248058,0,0.0,0,0.0,Arif,4
64,181.59,33,2024-08-09 16:14:04.248063,3,47.18,2,20.1,Ramzan,2
65,144.06,17,2023-09-29 16:14:04.248068,2,1.85,0,0.0,Junaid,3
66,273.63,24,2024-05-08 16:14:04.248075,3,10.08,0,0.0,Junaid,5
67,74.76,34,2024-04-06 16:14:04.248080,0,0.0,2,21.88,Asif,3
68,402.09,28,2024-07-23 16:14:04.248084,3,39.56,1,10.07,Ramzan,2
69,41.9,43,2024-05-05 16:14:04.248089,3,44.29,0,0.0,Ali,1
70,493.51,41,2024-07-12 16:14:04.248094,0,0.0,2,0.34,Arif,4
71,387.26,39,2024-02-20 16:14:04.248098,1,15.78,1,6.29,Ali,5
72,103.36,22,2024-04-12 16:14:04.248103,1,15.5,2,20.8,Junaid,1
73,7.73,49,2024-01-13 16:14:04.248107,0,0.0,0,0.0,Ali,1
74,408.65,17,2023-10-12 16:14:04.248112,3,19.91,1,10.51,Junaid,3
75,354.89,34,2024-02-28 16:14:04.248122,0,0.0,1,23.61,Junaid,2
76,365.86,6,2024-06-10 16:14:04.248127,1,40.77,2,21.61,Junaid,3
77,386.78,46,2024-02-25 16:14:04.248131,2,23.67,2,1.44,Junaid,2
78,41.65,6,2024-03-04 16:14:04.248138,3,1.83,2,13.15,Junaid,3
79,182.44,34,2024-05-17 16:14:04.248143,1,32.35,1,12.59,Asif,1
80,62.36,1,2023-09-24 16:14:04.248147,3,14.31,1,4.99,Ali,4
81,432.24,10,2024-04-18 16:14:04.248152,0,0.0,0,0.0,Asif,2
82,313.53,21,2023-09-08 16:14:04.248156,2,43.11,1,12.42,Asif,5
83,168.79,5,2023-09-18 16:14:04.248161,0,0.0,0,0.0,Ramzan,5
84,36.46,2,2023-10-06 16:14:04.248166,2,2.39,2,26.45,Ramzan,1
85,158.94,22,2024-07-27 16:14:04.248171,3,32.79,2,10.54,Ramzan,3
86,165.97,48,2023-10-26 16:14:04.248176,3,13.66,1,11.26,Arif,3
87,366.16,2,2023-10-12 16:14:04.248181,0,0.0,2,24.86,Ramzan,1
88,320.59,10,2024-06-06 16:14:04.248186,2,39.97,2,23.66,Ali,5
89,444.17,34,2023-12-03 16:14:04.248191,2,21.85,1,17.34,Asif,5
90,238.75,16,2024-04-29 16:14:04.248196,3,20.0,0,0.0,Ali,3
91,64.2,48,2024-06-10 16:14:04.248200,0,0.0,1,22.75,Ramzan,2
92,358.06,39,2024-01-09 16:14:04.248205,2,21.99,0,0.0,Arif,4
93,381.59,22,2024-02-20 16:14:04.248209,3,47.82,1,6.77,Arif,2
94,282.83,12,2024-04-16 16:14:04.248215,1,16.95,1,13.54,Asif,5
95,386.63,24,2023-10-10 16:14:04.248220,0,0.0,2,23.98,Ali,2
96,249.43,47,2023-09-15 16:14:04.248226,1,9.34,1,1.0,Junaid,4
97,263.75,40,2023-11-21 16:14:04.248231,0,0.0,1,0.6,Ali,2
98,216.63,38,2024-05-12 16:14:04.248236,3,34.6,0,0.0,Ramzan,2
99,17.58,10,2023-09-17 16:14:04.248240,2,18.37,2,7.83,Junaid,2
100,58.41,35,2024-03-19 16:14:04.248245,2,39.86,0,0.0,Arif,2
101,20.56,49,2024-08-04 16:14:04.248250,2,13.34,0,0.0,Asif,1
102,320.02,32,2024-05-07 16:14:04.248255,0,0.0,2,3.14,Asif,5
103,160.61,7,2024-08-16 16:14:04.248260,3,4.13,2,10.25,Arif,4
104,256.74,21,2024-03-24 16:14:04.248462,1,21.22,2,26.64,Ramzan,5
105,454.25,20,2024-02-09 16:14:04.248474,3,21.53,1,4.83,Arif,1
106,128.4,26,2024-04-17 16:14:04.248479,1,49.75,2,2.25,Ramzan,1
107,208.14,4,2024-07-30 16:14:04.248484,0,0.0,2,28.26,Junaid,1
108,379.0,46,2024-05-16 16:14:04.248488,0,0.0,2,29.34,Arif,1
109,118.26,22,2023-11-16 16:14:04.248493,1,9.02,0,0.0,Ramzan,2
110,43.11,15,2024-03-24 16:14:04.248503,1,14.69,0,0.0,Junaid,5
111,148.43,40,2024-05-16 16:14:04.248516,1,5.13,1,10.14,Arif,3
112,84.8,21,2023-10-02 16:14:04.248522,3,16.4,0,0.0,Asif,4
113,465.2,15,2023-12-21 16:14:04.248526,1,14.78,1,29.56,Arif,1
114,405.02,22,2024-02-12 16:14:04.248531,0,0.0,0,0.0,Ali,5
